instance_546

VEHICLE
NUMBER     CAPACITY
  100              50

CUSTOMER
CUST NO.         XCOORD.         YCOORD.       DEMAND     READY TIME       DUE DATE    SERVICE TIME

      0     0.24802364     0.11628738          0        0.00000        3.00000        0.00000
      1     0.16131435     0.43197793          9     1.43890691     2.17305493     0.20000000
      2     0.40565011     0.27335650          2     0.81224525     1.76560986     0.20000000
      3     0.14284246     0.36680803          9     1.70577574     2.96461582     0.20000000
      4     0.94607228     0.70227540          9     0.42820603     2.17585135     0.20000000
      5     0.76224023     0.80696613          5     0.58147514     1.36581767     0.20000000
      6     0.72719800     0.50763720          2     1.89821792     2.40196490     0.20000000
      7     0.05034304     0.87260479          5     0.38314712     2.27670050     0.20000000
      8     0.34626645     0.40848517          5     0.74642515     1.45063949     0.20000000
      9     0.04807866     0.72832942          7     1.82852912     2.44921136     0.20000000
     10     0.88559330     0.62965876          7     0.31750727     1.60790038     0.20000000
     11     0.71336401     0.27845395          8     0.17417133     1.44411039     0.20000000
     12     0.59019822     0.15399221          1     0.46721247     0.98099041     0.20000000
     13     0.43327752     0.94370908          3     0.63320005     1.30337596     0.20000000
     14     0.82903731     0.20405877          2     1.33784115     2.11227846     0.20000000
     15     0.94932592     0.53801602          7     1.02018034     1.26048076     0.20000000
     16     0.93377864     0.53131682          8     0.94387954     1.28290009     0.20000000
     17     0.80302954     0.18086171          7     0.00000000     1.40634561     0.20000000
     18     0.57593191     0.26230729          3     0.29856604     1.79337978     0.20000000
     19     0.78695637     0.10668890          8     1.26085472     3.00000000     0.20000000
     20     0.50941080     0.55482471          7     1.22990489     2.59805107     0.20000000
     21     0.21225540     0.15738767          3     0.68322921     1.16991317     0.20000000
     22     0.53791833     0.40044072          7     1.76322508     2.59211016     0.20000000
     23     0.36673772     0.72035646          4     1.63867056     2.34722281     0.20000000
     24     0.31439322     0.22505134          1     0.61460280     1.79423380     0.20000000
     25     0.11402229     0.11156853          8     0.60528636     1.70620155     0.20000000
     26     0.53886074     0.48548517          5     1.36727500     2.87206626     0.20000000
