name,bestNVehicles,bestCost,algBestCost,algNVehicles,gap,time,iter,history
instance_37,8,10.41296,11.268927922018735,-1,-0.07596,221.63822841644287,500,"[11.268927574157715, 11.268927574157715, 11.268927574157715, 11.268927574157715, 11.268927574157715]"
instance_34,9,11.65874,11.931073685086114,-1,-0.02283,223.05602931976318,500,"[12.09273910522461, 11.931074142456055, 11.931074142456055, 11.931074142456055, 11.931074142456055]"
instance_38,10,12.09475,12.754965845216349,-1,-0.05176,222.9644968509674,500,"[12.754965782165527, 12.754965782165527, 12.754965782165527, 12.754965782165527, 12.754965782165527]"
instance_45,9,11.52795,11.616856194393785,-1,-0.00765,227.73819971084595,500,"[11.972942352294922, 11.759839057922363, 11.616856575012207, 11.616856575012207, 11.616856575012207]"
instance_6,9,11.81285,12.443952326099371,-1,-0.05072,239.89925479888916,500,"[12.443952560424805, 12.443952560424805, 12.443952560424805, 12.443952560424805, 12.443952560424805]"
instance_5,10,13.74613,14.59146266735684,-1,-0.05793,245.0194685459137,500,"[15.054194450378418, 14.631916999816895, 14.631916999816895, 14.631916999816895, 14.591463088989258]"
instance_30,10,17.41376,17.709425459742157,-1,-0.0167,251.40837788581848,500,"[18.5911808013916, 18.5911808013916, 17.74140167236328, 17.70942497253418, 17.70942497253418]"
instance_49,9,11.63856,11.859404208472169,-1,-0.01862,251.91214442253113,500,"[11.91275691986084, 11.859404563903809, 11.859404563903809, 11.859404563903809, 11.859404563903809]"
instance_17,10,15.82008,16.384882353667496,-1,-0.03447,257.1482803821564,500,"[17.117582321166992, 16.689180374145508, 16.689180374145508, 16.3848819732666, 16.3848819732666]"
instance_14,9,12.79713,13.22734245247821,-1,-0.03252,261.15437364578247,500,"[13.368972778320312, 13.241679191589355, 13.241679191589355, 13.241679191589355, 13.22734260559082]"
instance_42,10,14.52086,15.299918185033597,-1,-0.05092,266.20409536361694,500,"[15.97561264038086, 15.763872146606445, 15.299918174743652, 15.299918174743652, 15.299918174743652]"
instance_33,8,11.31095,11.716098702553161,-1,-0.03458,268.1481442451477,500,"[11.9577054977417, 11.866292953491211, 11.866292953491211, 11.866292953491211, 11.71609878540039]"
instance_23,10,15.41076,16.133874449767895,-1,-0.04482,271.6798691749573,500,"[16.797420501708984, 16.434978485107422, 16.133874893188477, 16.133874893188477, 16.133874893188477]"
instance_19,10,14.67818,15.332365454040195,-1,-0.04267,271.4666666984558,500,"[15.332365036010742, 15.332365036010742, 15.332365036010742, 15.332365036010742, 15.332365036010742]"
instance_3,9,13.17629,13.9524076631197,-1,-0.05563,273.66920256614685,500,"[13.952407836914062, 13.952407836914062, 13.952407836914062, 13.952407836914062, 13.952407836914062]"
instance_1,9,13.87083,14.54737358351206,-1,-0.04651,276.09237241744995,500,"[14.980521202087402, 14.86231803894043, 14.54737377166748, 14.54737377166748, 14.54737377166748]"
instance_21,10,15.14194,15.750897370531371,-1,-0.03866,277.0545165538788,500,"[16.030698776245117, 16.030698776245117, 16.030698776245117, 16.02701759338379, 15.750897407531738]"
instance_47,9,13.49384,14.22359743014885,-1,-0.05131,279.1492919921875,500,"[14.24018383026123, 14.24018383026123, 14.24018383026123, 14.24018383026123, 14.223597526550293]"
instance_40,10,16.20394,16.434628898850097,-1,-0.01404,282.4427397251129,500,"[17.180831909179688, 17.180831909179688, 16.987045288085938, 16.864145278930664, 16.434629440307617]"
instance_9,11,19.28038,19.78523916921739,-1,-0.02552,283.7381374835968,500,"[20.426860809326172, 20.426860809326172, 19.9473819732666, 19.78523826599121, 19.78523826599121]"
instance_35,10,15.21221,15.404649316345168,-1,-0.01249,283.58564496040344,500,"[15.40464973449707, 15.40464973449707, 15.40464973449707, 15.40464973449707, 15.40464973449707]"
instance_32,11,14.90966,15.28926015181398,-1,-0.02483,284.64289116859436,500,"[16.036949157714844, 15.879194259643555, 15.572674751281738, 15.289259910583496, 15.289259910583496]"
instance_31,8,10.55501,10.847056447256058,-1,-0.02692,287.1067945957184,500,"[11.567992210388184, 10.84705638885498, 10.84705638885498, 10.84705638885498, 10.84705638885498]"
instance_29,10,16.11435,16.822892668816426,-1,-0.04212,286.4746940135956,500,"[16.955663681030273, 16.955663681030273, 16.955663681030273, 16.955663681030273, 16.822893142700195]"
instance_28,10,13.64997,14.07728974618706,-1,-0.03036,290.0696678161621,500,"[14.156553268432617, 14.153626441955566, 14.077289581298828, 14.077289581298828, 14.077289581298828]"
instance_48,9,10.5795,11.091132076454775,-1,-0.04613,291.0712401866913,500,"[11.092704772949219, 11.092704772949219, 11.092704772949219, 11.091132164001465, 11.091132164001465]"
instance_36,9,12.90923,13.48558850838493,-1,-0.04274,290.90670561790466,500,"[13.909578323364258, 13.485588073730469, 13.485588073730469, 13.485588073730469, 13.485588073730469]"
instance_39,10,15.59636,16.37080280448498,-1,-0.04731,291.9760570526123,500,"[17.286436080932617, 16.71060562133789, 16.37080192565918, 16.37080192565918, 16.37080192565918]"
instance_20,10,16.54424,17.19536939160941,-1,-0.03787,295.65105628967285,500,"[17.527742385864258, 17.527742385864258, 17.448776245117188, 17.448776245117188, 17.195369720458984]"
instance_43,9,12.33874,12.655103307059882,-1,-0.025,295.7285108566284,500,"[13.13665771484375, 12.65510368347168, 12.65510368347168, 12.65510368347168, 12.65510368347168]"
instance_13,8,10.83843,11.199177166842802,-1,-0.03221,298.1411657333374,500,"[12.023926734924316, 11.199176788330078, 11.199176788330078, 11.199176788330078, 11.199176788330078]"
instance_0,9,12.97768,13.332650077528806,-1,-0.02662,297.77299332618713,500,"[13.841544151306152, 13.332650184631348, 13.332650184631348, 13.332650184631348, 13.332650184631348]"
instance_2,10,13.85897,14.92589430393509,-1,-0.07148,297.86454010009766,500,"[15.202366828918457, 15.202366828918457, 14.925894737243652, 14.925894737243652, 14.925894737243652]"
instance_22,9,13.0112,13.22072340315324,-1,-0.01585,298.6610748767853,500,"[13.220723152160645, 13.220723152160645, 13.220723152160645, 13.220723152160645, 13.220723152160645]"
instance_41,11,19.1914,19.93599978192955,-1,-0.03735,299.41177558898926,500,"[20.298625946044922, 20.043943405151367, 20.043943405151367, 19.935998916625977, 19.935998916625977]"
instance_27,9,11.65378,12.12607020245901,-1,-0.03895,301.41310453414917,500,"[12.126070022583008, 12.126070022583008, 12.126070022583008, 12.126070022583008, 12.126070022583008]"
instance_46,10,15.98919,16.61143485272017,-1,-0.03746,300.8505210876465,500,"[17.087575912475586, 16.960954666137695, 16.73505401611328, 16.73505401611328, 16.611434936523438]"
instance_10,10,14.02086,14.891700131072424,-1,-0.05848,301.2160358428955,500,"[15.246834754943848, 15.242057800292969, 14.89169979095459, 14.89169979095459, 14.89169979095459]"
instance_12,9,11.35384,11.66497163985576,-1,-0.02667,304.95573902130127,500,"[11.950005531311035, 11.664971351623535, 11.664971351623535, 11.664971351623535, 11.664971351623535]"
instance_18,9,15.78119,16.53586590122604,-1,-0.04564,307.3116526603699,500,"[16.535865783691406, 16.535865783691406, 16.535865783691406, 16.535865783691406, 16.535865783691406]"
