instance_613

VEHICLE
NUMBER     CAPACITY
  100              40

CUSTOMER
CUST NO.         XCOORD.         YCOORD.       DEMAND     READY TIME       DUE DATE    SERVICE TIME

      0     0.31984594     0.79882431          0        0.00000        3.00000        0.00000
      1     0.90058410     0.83689421          4     0.62788582     0.83016741     0.20000000
      2     0.32056057     0.34282598          3     1.06573260     1.56575572     0.20000000
      3     0.38660967     0.79458231          9     0.19788074     1.48571706     0.20000000
      4     0.88100308     0.77181906          6     1.64785910     2.54601097     0.20000000
      5     0.51138037     0.23915695          4     0.47405535     1.33988523     0.20000000
      6     0.12992939     0.80296808          3     0.00000000     0.65594953     0.20000000
      7     0.70496720     0.86345929          6     0.43488562     1.29100847     0.20000000
      8     0.27808961     0.53411549          9     0.08009875     1.52866983     0.20000000
      9     0.91488826     0.16935728          1     1.13342261     1.36108494     0.20000000
     10     0.34658805     0.39566138          5     0.07113200     1.76353288     0.20000000
     11     0.83691180     0.53444505          9     0.60694003     1.34869707     0.20000000
     12     0.22706361     0.29617169          1     0.91416657     1.25741875     0.20000000
     13     0.96571046     0.67912036          2     1.29268408     2.37333608     0.20000000
     14     0.21474333     0.87267911          3     0.38369644     1.89368236     0.20000000
     15     0.06932931     0.98010832          9     1.45177650     3.00000000     0.20000000
     16     0.35478437     0.09527859          7     0.24881303     1.34787238     0.20000000
     17     0.06018331     0.81028628          7     1.38237929     1.94380689     0.20000000
     18     0.88822109     0.91918051          3     0.40418535     2.05331111     0.20000000
     19     0.78217179     0.20549980          5     1.23819590     2.57363725     0.20000000
     20     0.48056245     0.00559096          7     1.46127474     2.05863976     0.20000000
     21     0.20560528     0.53233129          5     0.82979560     2.40036893     0.20000000
     22     0.39568481     0.19568753          3     0.12571746     1.54975915     0.20000000
     23     0.98397559     0.48075950          8     0.89938617     2.85712528     0.20000000
     24     0.27483195     0.98812670          5     0.03966054     0.69708228     0.20000000
     25     0.26407531     0.16641997          8     0.47062311     1.24333787     0.20000000
     26     0.44919977     0.38442278          1     1.76908350     2.61563015     0.20000000
     27     0.20833218     0.53605050          2     1.26948488     3.00000000     0.20000000
     28     0.46503007     0.62750584          6     1.52855778     3.00000000     0.20000000
     29     0.03043048     0.89728081          5     0.93195218     1.47703600     0.20000000
     30     0.24752365     0.44090366          4     0.96051264     1.44399953     0.20000000
     31     0.90568441     0.56612408          2     0.85079306     2.64506125     0.20000000
     32     0.15220818     0.21278583          5     1.37047422     2.92000008     0.20000000
     33     0.56637126     0.39493173          3     0.53538644     0.74341559     0.20000000
     34     0.71705437     0.38577935          9     0.60798889     2.31383729     0.20000000
     35     0.93990171     0.33866471          7     0.27309752     1.59335506     0.20000000
     36     0.62592959     0.18239892          1     0.20839149     1.36588764     0.20000000
     37     0.46843362     0.87469846          4     1.15423679     2.31177163     0.20000000
     38     0.17207859     0.11002272          1     1.40808284     1.99991357     0.20000000
     39     0.80272448     0.26363724          9     1.22289205     2.03051209     0.20000000
     40     0.06915320     0.74584579          8     1.54615998     2.65473533     0.20000000
     41     0.31140339     0.88458949          3     0.04149383     0.73843408     0.20000000
     42     0.60136497     0.57733005          3     1.72425449     3.00000000     0.20000000
     43     0.69557786     0.82489604          7     0.83544207     1.50321364     0.20000000
     44     0.79876858     0.38159639          1     0.41473556     1.48438823     0.20000000
     45     0.24518198     0.41061923          8     1.15280366     2.85604167     0.20000000
     46     0.71723390     0.77927846          4     0.81005824     1.26196325     0.20000000
     47     0.07680295     0.82610077          7     0.26874989     1.34524035     0.20000000
     48     0.79253352     0.12610662          7     0.59544551     1.78071749     0.20000000
     49     0.03649288     0.89440054          7     0.00000000     1.46242642     0.20000000
     50     0.05148303     0.92084688          2     0.42395371     1.21838713     0.20000000
