instance_7240

VEHICLE
NUMBER     CAPACITY
  100           50

CUSTOMER
CUST NO.         XCOORD.         YCOORD.       DEMAND     READY TIME       DUE DATE    SERVICE TIME

      0        0.90732151        0.83926817      0              0            100      0
      1        0.39895847        0.65883330      6              0            100      0
      2        0.63724571        0.11706774      5              0            100      0
      3        0.76513625        0.45703798      3              0            100      0
      4        0.37967838        0.12609778      8              0            100      0
      5        0.75651986        0.19406114      2              0            100      0
      6        0.00866651        0.12970953      4              0            100      0
      7        0.91920868        0.66849188      3              0            100      0
      8        0.25258372        0.68220161      6              0            100      0
      9        0.80987370        0.08026410      7              0            100      0
     10        0.23839250        0.09337353      6              0            100      0
     11        0.81793082        0.43923317      1              0            100      0
     12        0.71333312        0.38164812      1              0            100      0
     13        0.46008557        0.48170787      7              0            100      0
     14        0.86226044        0.62904977      4              0            100      0
     15        0.08842133        0.99455015      2              0            100      0
     16        0.26615063        0.54086158      8              0            100      0
     17        0.87793189        0.13795405      2              0            100      0
     18        0.98041686        0.02958349      7              0            100      0
     19        0.92470204        0.78852621      2              0            100      0
     20        0.62995679        0.97714993      2              0            100      0
     21        0.70057765        0.49002803      4              0            100      0
     22        0.57396065        0.48405385      5              0            100      0
     23        0.81495256        0.52899582      9              0            100      0
     24        0.88253441        0.47877162      6              0            100      0
     25        0.97262296        0.64693915      4              0            100      0
     26        0.86519018        0.90180603      6              0            100      0
     27        0.76555704        0.38852708      2              0            100      0
     28        0.51403833        0.27163638      1              0            100      0
     29        0.24769352        0.52228651      9              0            100      0
     30        0.31686039        0.44770591      3              0            100      0
     31        0.81979687        0.33206218      2              0            100      0
     32        0.13084517        0.93233458      3              0            100      0
     33        0.63245279        0.33351428      1              0            100      0
     34        0.74198948        0.78365620      9              0            100      0
     35        0.00910755        0.58489839      4              0            100      0
     36        0.90276167        0.18974095      6              0            100      0
     37        0.14641663        0.28261930      1              0            100      0
     38        0.61544199        0.35217641      3              0            100      0
     39        0.43278348        0.14950466      7              0            100      0
     40        0.61558332        0.08487093      3              0            100      0
     41        0.19382278        0.34726234      2              0            100      0
     42        0.95672546        0.06668070      2              0            100      0
     43        0.88021024        0.71796539      2              0            100      0
     44        0.43266999        0.97137081      8              0            100      0
     45        0.27279313        0.91023373      4              0            100      0
     46        0.77274650        0.24562219      3              0            100      0
     47        0.08891222        0.61960292      4              0            100      0
     48        0.69199552        0.58486827      8              0            100      0
     49        0.81144390        0.84362741      4              0            100      0
     50        0.12316764        0.82744888      2              0            100      0
     51        0.57477574        0.40923061      8              0            100      0
     52        0.02583156        0.95999757      7              0            100      0
     53        0.78406486        0.85735520      3              0            100      0
     54        0.42448798        0.38487861      4              0            100      0
     55        0.15419465        0.34472899      7              0            100      0
     56        0.01766250        0.66702974      1              0            100      0
     57        0.55218981        0.79915803      9              0            100      0
     58        0.18874531        0.54695897      1              0            100      0
     59        0.39667682        0.30759904      1              0            100      0
     60        0.78226422        0.43018187      1              0            100      0
     61        0.36108639        0.85255275      6              0            100      0
     62        0.25341735        0.09549821      6              0            100      0
     63        0.10673616        0.86447781      4              0            100      0
     64        0.02369842        0.89497505      7              0            100      0
     65        0.86696539        0.78158630      2              0            100      0
     66        0.73088794        0.11507003      4              0            100      0
     67        0.10902380        0.57721536      2              0            100      0
     68        0.71981471        0.20062217      7              0            100      0
     69        0.90743425        0.28553004      9              0            100      0
     70        0.82542068        0.53357091      5              0            100      0
     71        0.17129059        0.95598303      5              0            100      0
     72        0.08269499        0.38699940      5              0            100      0
     73        0.69360180        0.05703772      8              0            100      0
     74        0.18852167        0.12653740      6              0            100      0
     75        0.86005452        0.22442001      8              0            100      0
     76        0.63051271        0.81912735      3              0            100      0
     77        0.64617631        0.32158334      1              0            100      0
     78        0.45647828        0.14784669      8              0            100      0
     79        0.15014848        0.32157679      8              0            100      0
     80        0.40250862        0.28144644      1              0            100      0
     81        0.17747596        0.26031828      4              0            100      0
     82        0.46265970        0.61265366      3              0            100      0
     83        0.25249476        0.61135470      1              0            100      0
     84        0.80406210        0.03576542      2              0            100      0
     85        0.96886607        0.98608392      1              0            100      0
     86        0.91318322        0.36669968      7              0            100      0
     87        0.79427983        0.40231797      5              0            100      0
     88        0.67910026        0.89276482      2              0            100      0
     89        0.85143802        0.92917109      7              0            100      0
     90        0.69977760        0.05896585      8              0            100      0
     91        0.62912703        0.00420172      8              0            100      0
     92        0.73132411        0.05850662      1              0            100      0
     93        0.69631352        0.95593784      9              0            100      0
     94        0.14660393        0.59661820      7              0            100      0
     95        0.86614206        0.31455081      3              0            100      0
     96        0.71241412        0.66642845      1              0            100      0
     97        0.26150992        0.79831844      4              0            100      0
     98        0.33060965        0.97755216      5              0            100      0
     99        0.54527473        0.97100824      3              0            100      0
    100        0.71021576        0.81174503      5              0            100      0
